feature,importance
patch_wr_delta_diff,0.2525
player_experience_diff,0.08166666666666667
team_patch_games_diff,0.08
team_patch_games_b,0.07916666666666666
team_patch_games_a,0.06666666666666667
avg20_earned_gpm_diff,0.051666666666666666
avg_player_pool_diff,0.030833333333333334
side_wr_diff,0.03
avg10_csdiffat15_diff,0.029166666666666667
avg20_golddiffat15_diff,0.02666666666666667
avg_champ_wr_diff,0.025833333333333333
wr_diff_all,0.025
h2h_a,0.023333333333333334
avg10_cspm_diff,0.018333333333333333
avg20_towers_diff,0.0175
avg_player_streak_diff,0.016666666666666666
avg10_csdiffat10_diff,0.0125
avg10_earned_gpm_diff,0.0125
patch_wr_delta_b,0.011666666666666667
avg10_golddiffat15_diff,0.010833333333333334
avg_champ_comfort_diff,0.01
avg10_vspm_diff,0.008333333333333333
series_games_played,0.006666666666666667
elo_diff,0.006666666666666667
patch_wr_delta_a,0.006666666666666667
avg10_firsttower_diff,0.006666666666666667
avg_champ_games_diff,0.005833333333333334
avg_champ_wr_b,0.005
is_playoffs,0.004166666666666667
avg20_teamdeaths_diff,0.0033333333333333335
